X T Z
-3.14159 0 0.00064727
-3.07938 0 0.000785457
-3.01717 0 0.000949464
-2.95496 0 0.00114328
-2.89275 0 0.00137135
-2.83054 0 0.00163856
-2.76833 0 0.00195028
-2.70612 0 0.00231233
-2.64391 0 0.002731
-2.5817 0 0.00321301
-2.5195 0 0.0037655
-2.45729 0 0.00439595
-2.39508 0 0.00511213
-2.33287 0 0.00592202
-2.27066 0 0.00683373
-2.20845 0 0.00785533
-2.14624 0 0.00899478
-2.08403 0 0.0102597
-2.02182 0 0.0116574
-1.95961 0 0.0131942
-1.8974 0 0.014876
-1.83519 0 0.0167074
-1.77298 0 0.0186918
-1.71077 0 0.0208311
-1.64856 0 0.0231255
-1.58635 0 0.0255735
-1.52414 0 0.0281715
-1.46193 0 0.0309134
-1.39972 0 0.0337913
-1.33751 0 0.0367943
-1.2753 0 0.0399095
-1.21309 0 0.0431212
-1.15088 0 0.0464115
-1.08867 0 0.0497598
-1.02646 0 0.0531436
-0.964251 0 0.0565384
-0.902041 0 0.0599176
-0.839832 0 0.0632535
-0.777622 0 0.0665173
-0.715412 0 0.0696792
-0.653202 0 0.0727096
-0.590993 0 0.0755786
-0.528783 0 0.0782574
-0.466573 0 0.0807182
-0.404363 0 0.0829348
-0.342154 0 0.0848831
-0.279944 0 0.0865416
-0.217734 0 0.0878917
-0.155524 0 0.0889181
-0.0933146 0 0.089609
-0.0311049 0 0.0899565
0.0311049 0 0.0899565
0.0933146 0 0.089609
0.155524 0 0.0889181
0.217734 0 0.0878917
0.279944 0 0.0865416
0.342154 0 0.0848831
0.404363 0 0.0829348
0.466573 0 0.0807182
0.528783 0 0.0782574
0.590993 0 0.0755786
0.653202 0 0.0727096
0.715412 0 0.0696792
0.777622 0 0.0665173
0.839832 0 0.0632535
0.902041 0 0.0599176
0.964251 0 0.0565384
1.02646 0 0.0531436
1.08867 0 0.0497598
1.15088 0 0.0464115
1.21309 0 0.0431212
1.2753 0 0.0399095
1.33751 0 0.0367943
1.39972 0 0.0337913
1.46193 0 0.0309134
1.52414 0 0.0281715
1.58635 0 0.0255735
1.64856 0 0.0231255
1.71077 0 0.0208311
1.77298 0 0.0186918
1.83519 0 0.0167074
1.8974 0 0.014876
1.95961 0 0.0131942
2.02182 0 0.0116574
2.08403 0 0.0102597
2.14624 0 0.00899478
2.20845 0 0.00785533
2.27066 0 0.00683373
2.33287 0 0.00592202
2.39508 0 0.00511213
2.45729 0 0.00439595
2.5195 0 0.0037655
2.5817 0 0.00321301
2.64391 0 0.002731
2.70612 0 0.00231233
2.76833 0 0.00195028
2.83054 0 0.00163856
2.89275 0 0.00137135
2.95496 0 0.00114328
3.01717 0 0.000949464
3.07938 0 0.000785457
-3.14159 0.049505 0.0470475
-3.07938 0.049505 0.0477113
-3.01717 0.049505 0.0479513
-2.95496 0.049505 0.0481466
-2.89275 0.049505 0.0483802
-2.83054 0.049505 0.0486556
-2.76833 0.049505 0.0489765
-2.70612 0.049505 0.0493487
-2.64391 0.049505 0.0497784
-2.5817 0.049505 0.0502725
-2.5195 0.049505 0.0508382
-2.45729 0.049505 0.051483
-2.39508 0.049505 0.0522147
-2.33287 0.049505 0.0530413
-2.27066 0.049505 0.053971
-2.20845 0.049505 0.0550118
-2.14624 0.049505 0.0561717
-2.08403 0.049505 0.0574584
-2.02182 0.049505 0.058879
-1.95961 0.049505 0.06044
-1.8974 0.049505 0.062147
-1.83519 0.049505 0.0640045
-1.77298 0.049505 0.066016
-1.71077 0.049505 0.0681831
-1.64856 0.049505 0.070506
-1.58635 0.049505 0.0729829
-1.52414 0.049505 0.0756098
-1.46193 0.049505 0.0783809
-1.39972 0.049505 0.0812876
-1.33751 0.049505 0.0843191
-1.2753 0.049505 0.0874621
-1.21309 0.049505 0.0907007
-1.15088 0.049505 0.0940168
-1.08867 0.049505 0.0973897
-1.02646 0.049505 0.100797
-0.964251 0.049505 0.104213
-0.902041 0.049505 0.107612
-0.839832 0.049505 0.110966
-0.777622 0.049505 0.114246
-0.715412 0.049505 0.117423
-0.653202 0.049505 0.120466
-0.590993 0.049505 0.123346
-0.528783 0.049505 0.126034
-0.466573 0.049505 0.128503
-0.404363 0.049505 0.130726
-0.342154 0.049505 0.13268
-0.279944 0.049505 0.134343
-0.217734 0.049505 0.135696
